value,geometry,value,geometry,value,geometry
676.406,-53.8309,-25.1087,674.416,-53.82971684,-25.10924935,674.416,-53.82971684,-25.10924935
673.852,-53.8316,-25.1086,676.406,-53.83085223,-25.10867721,676.406,-53.83085223,-25.10867721
673.295,-53.8313,-25.1081,673.852,-53.8315607,-25.1085914,673.852,-53.8315607,-25.1085914
670.334,-53.832,-25.1081,673.295,-53.83132282,-25.10813927,673.295,-53.83132282,-25.10813927
669.850,-53.8326,-25.1076,670.334,-53.8319806,-25.10814558,670.334,-53.8319806,-25.10814558
669.892,-53.8338,-25.1077,669.850,-53.83255101,-25.10757061,669.850,-53.83255101,-25.10757061
669.640,-53.8332,-25.1079,669.892,-53.8338434,-25.10766315,669.892,-53.8338434,-25.10766315
669.537,-53.8324,-25.1086,669.640,-53.83319483,-25.10787583,669.640,-53.83319483,-25.10787583
669.405,-53.832,-25.109,669.537,-53.83242421,-25.10864935,669.537,-53.83242421,-25.10864935
674.416,-53.8297,-25.1092,669.405,-53.83197895,-25.10904907,669.405,-53.83197895,-25.10904907
669.723,-53.8307,-25.1094,669.723,-53.83065723,-25.10938406,669.723,-53.83065723,-25.10938406
665.754,-53.83,-25.1096,665.754,-53.83003589,-25.10961562,665.754,-53.83003589,-25.10961562
665.565,-53.8295,-25.1099,665.565,-53.82947208,-25.10992088,665.565,-53.82947208,-25.10992088
665.663,-53.8297,-25.1103,665.663,-53.82974559,-25.11031768,665.663,-53.82974559,-25.11031768
665.587,-53.831,-25.1098,665.587,-53.83100239,-25.10978531,665.587,-53.83100239,-25.10978531
665.766,-53.8317,-25.1096,665.766,-53.83165783,-25.10959426,665.766,-53.83165783,-25.10959426
666.052,-53.8327,-25.109,666.052,-53.83272282,-25.10900902,666.052,-53.83272282,-25.10900902
662.112,-53.8331,-25.1085,662.112,-53.83311192,-25.10849213,662.112,-53.83311192,-25.10849213
662.284,-53.8344,-25.1081,662.284,-53.83441264,-25.10809724,662.284,-53.83441264,-25.10809724
661.995,-53.8345,-25.1087,661.995,-53.834508,-25.10871522,661.995,-53.834508,-25.10871522
662.025,-53.834,-25.1088,662.025,-53.83400456,-25.10875153,662.025,-53.83400456,-25.10875153
662.377,-53.833,-25.1092,662.377,-53.83296314,-25.10924744,662.377,-53.83296314,-25.10924744
661.809,-53.8325,-25.1096,661.809,-53.83246273,-25.10964004,661.809,-53.83246273,-25.10964004
661.871,-53.8312,-25.1101,661.871,-53.83122746,-25.11005234,661.871,-53.83122746,-25.11005234
658.261,-53.8306,-25.1103,658.261,-53.83059627,-25.11025855,658.261,-53.83059627,-25.11025855
657.799,-53.83,-25.1106,657.799,-53.83000118,-25.11058661,657.799,-53.83000118,-25.11058661
658.439,-53.8303,-25.1108,658.439,-53.83025333,-25.11080962,658.439,-53.83025333,-25.11080962
658.428,-53.8308,-25.1105,658.428,-53.83084911,-25.11051933,658.428,-53.83084911,-25.11051933
657.862,-53.8321,-25.1102,657.862,-53.83208195,-25.11016297,657.862,-53.83208195,-25.11016297
658.914,-53.8331,-25.1095,658.914,-53.83313481,-25.10948395,658.914,-53.83313481,-25.10948395
657.282,-53.8336,-25.1091,657.282,-53.83360392,-25.10909288,657.282,-53.83360392,-25.10909288
654.331,-53.8346,-25.1092,654.331,-53.83463007,-25.10924165,654.331,-53.83463007,-25.10924165
654.043,-53.8348,-25.1098,654.043,-53.83483607,-25.10979478,654.043,-53.83483607,-25.10979478
653.482,-53.8349,-25.1104,653.482,-53.83492771,-25.11036324,653.482,-53.83492771,-25.11036324
654.166,-53.8341,-25.11,654.166,-53.8341457,-25.10999131,654.166,-53.8341457,-25.10999131
653.825,-53.8337,-25.1095,653.825,-53.83374275,-25.10954279,653.825,-53.83374275,-25.10954279
653.851,-53.8329,-25.1101,653.851,-53.83289379,-25.11012069,653.851,-53.83289379,-25.11012069
651.335,-53.8324,-25.1104,651.335,-53.83237076,-25.11042786,651.335,-53.83237076,-25.11042786
653.546,-53.8316,-25.1106,653.546,-53.83162037,-25.11063408,653.546,-53.83162037,-25.11063408
655.854,-53.8306,-25.111,655.854,-53.83059245,-25.11096618,655.854,-53.83059245,-25.11096618
